YEAR,QUARTER,ORIGIN,DEST,OPERATING_CARRIER,PASSENGERS,MARKET_FARE
2025,1,FLL,LGA,NK,1.0,207.5
2025,1,FLL,LGA,NK,1.0,208.0
2025,1,FLL,LGA,NK,1.0,208.5
2025,1,FLL,LGA,NK,1.0,208.5
2025,1,FLL,LGA,NK,1.0,209.0
2025,1,FLL,LGA,NK,1.0,210.07
2025,1,FLL,LGA,NK,1.0,210.45
2025,1,FLL,LGA,NK,1.0,211.0
2025,1,FLL,LGA,NK,1.0,212.0
2025,1,FLL,LGA,NK,1.0,212.0
2025,1,FLL,LGA,NK,1.0,213.5
2025,1,FLL,LGA,NK,1.0,214.0
2025,1,FLL,LGA,NK,1.0,214.5
2025,1,FLL,LGA,NK,1.0,215.0
2025,1,FLL,LGA,NK,1.0,215.0
2025,1,FLL,LGA,NK,1.0,216.0
2025,1,FLL,LGA,NK,1.0,216.5
2025,1,FLL,LGA,NK,1.0,220.0
2025,1,FLL,LGA,NK,1.0,220.13
2025,1,FLL,LGA,NK,1.0,221.0
2025,1,FLL,LGA,NK,1.0,222.0
2025,1,FLL,LGA,NK,1.0,224.0
2025,1,FLL,LGA,NK,1.0,225.15
2025,1,FLL,LGA,NK,1.0,225.5
2025,1,FLL,LGA,NK,1.0,226.0
2025,1,FLL,LGA,NK,1.0,226.5
2025,1,FLL,LGA,NK,1.0,227.66
2025,1,FLL,LGA,NK,1.0,228.17
2025,1,FLL,LGA,NK,1.0,229.0
2025,1,FLL,LGA,NK,1.0,230.5
2025,1,FLL,LGA,NK,1.0,230.5
2025,1,FLL,LGA,NK,1.0,232.0
2025,1,FLL,LGA,NK,1.0,233.0
2025,1,FLL,LGA,NK,1.0,233.5
2025,1,FLL,LGA,NK,1.0,234.0
2025,1,FLL,LGA,NK,1.0,235.0
2025,1,FLL,LGA,NK,1.0,236.5
2025,1,FLL,LGA,NK,1.0,238.0
2025,1,FLL,LGA,NK,1.0,239.0
2025,1,FLL,LGA,NK,1.0,240.0
2025,1,FLL,LGA,NK,1.0,240.5
2025,1,FLL,LGA,NK,1.0,241.0
2025,1,FLL,LGA,NK,1.0,241.5
2025,1,FLL,LGA,NK,1.0,244.0
2025,1,FLL,LGA,NK,1.0,244.0
2025,1,FLL,LGA,NK,1.0,246.0
2025,1,FLL,LGA,NK,1.0,252.0
2025,1,FLL,LGA,NK,1.0,254.0
2025,1,FLL,LGA,NK,1.0,255.3
2025,1,FLL,LGA,NK,1.0,255.5
2025,1,FLL,LGA,NK,1.0,256.0
2025,1,FLL,LGA,NK,1.0,256.5
2025,1,FLL,LGA,NK,1.0,256.54
2025,1,FLL,LGA,NK,1.0,257.5
2025,1,FLL,LGA,NK,1.0,258.0
2025,1,FLL,LGA,NK,1.0,259.0
2025,1,FLL,LGA,NK,1.0,259.0
2025,1,FLL,LGA,NK,1.0,266.5
2025,1,FLL,LGA,NK,1.0,266.5
2025,1,FLL,LGA,NK,1.0,270.0
2025,1,FLL,LGA,NK,1.0,277.0
2025,1,FLL,LGA,NK,1.0,279.0
2025,1,FLL,LGA,NK,1.0,280.0
2025,1,FLL,LGA,NK,1.0,280.43
2025,1,FLL,LGA,NK,1.0,282.95
2025,1,FLL,LGA,NK,1.0,284.0
2025,1,FLL,LGA,NK,1.0,285.0
2025,1,FLL,LGA,NK,1.0,287.0
2025,1,FLL,LGA,NK,1.0,287.0
2025,1,FLL,LGA,NK,1.0,290.0
2025,1,FLL,LGA,NK,1.0,292.0
2025,1,FLL,LGA,NK,1.0,292.0
2025,1,FLL,LGA,NK,1.0,295.0
2025,1,FLL,LGA,NK,1.0,296.5
2025,1,FLL,LGA,NK,1.0,296.5
2025,1,FLL,LGA,NK,1.0,299.0
2025,1,FLL,LGA,NK,1.0,303.5
2025,1,FLL,LGA,NK,1.0,304.0
2025,1,FLL,LGA,NK,1.0,305.56
2025,1,FLL,LGA,NK,1.0,307.0
2025,1,FLL,LGA,NK,1.0,310.0
2025,1,FLL,LGA,NK,1.0,313.0
2025,1,FLL,LGA,NK,1.0,314.0
2025,1,FLL,LGA,NK,1.0,315.0
