YEAR,QUARTER,ORIGIN,DEST,OPERATING_CARRIER,PASSENGERS,MARKET_FARE
2025,2,FLL,LGA,NK,1.0,133.01
2025,2,FLL,LGA,NK,1.0,133.5
2025,2,FLL,LGA,NK,1.0,134.0
2025,2,FLL,LGA,NK,1.0,134.5
2025,2,FLL,LGA,NK,1.0,134.5
2025,2,FLL,LGA,NK,1.0,135.5
2025,2,FLL,LGA,NK,1.0,136.0
2025,2,FLL,LGA,NK,1.0,137.0
2025,2,FLL,LGA,NK,1.0,137.0
2025,2,FLL,LGA,NK,1.0,137.0
2025,2,FLL,LGA,NK,1.0,138.0
2025,2,FLL,LGA,NK,1.0,138.0
2025,2,FLL,LGA,NK,1.0,138.42
2025,2,FLL,LGA,NK,1.0,138.5
2025,2,FLL,LGA,NK,1.0,138.71
2025,2,FLL,LGA,NK,1.0,139.0
2025,2,FLL,LGA,NK,1.0,139.02
2025,2,FLL,LGA,NK,1.0,139.5
2025,2,FLL,LGA,NK,1.0,139.7
2025,2,FLL,LGA,NK,1.0,139.71
2025,2,FLL,LGA,NK,1.0,141.0
2025,2,FLL,LGA,NK,1.0,141.0
2025,2,FLL,LGA,NK,1.0,142.0
2025,2,FLL,LGA,NK,1.0,143.0
2025,2,FLL,LGA,NK,1.0,143.0
2025,2,FLL,LGA,NK,1.0,143.5
2025,2,FLL,LGA,NK,1.0,145.34
2025,2,FLL,LGA,NK,1.0,145.5
2025,2,FLL,LGA,NK,1.0,146.0
2025,2,FLL,LGA,NK,1.0,146.0
2025,2,FLL,LGA,NK,1.0,146.15
2025,2,FLL,LGA,NK,1.0,146.5
2025,2,FLL,LGA,NK,1.0,147.04
2025,2,FLL,LGA,NK,1.0,148.0
2025,2,FLL,LGA,NK,1.0,148.0
2025,2,FLL,LGA,NK,1.0,148.5
2025,2,FLL,LGA,NK,1.0,149.0
2025,2,FLL,LGA,NK,1.0,150.5
2025,2,FLL,LGA,NK,1.0,151.0
2025,2,FLL,LGA,NK,1.0,151.0
2025,2,FLL,LGA,NK,1.0,151.5
2025,2,FLL,LGA,NK,1.0,152.03
2025,2,FLL,LGA,NK,1.0,152.28
2025,2,FLL,LGA,NK,1.0,153.5
2025,2,FLL,LGA,NK,1.0,153.6
2025,2,FLL,LGA,NK,1.0,154.5
2025,2,FLL,LGA,NK,1.0,154.5
